"Province Name","Province Name","Province Code","District Name","District Name","District Code","OD Name","OD Name","OD Code","Health Center Code","Health Center Name","Health Center Name","Commune Name","Commune Name","Commune Code","Village Name","Village Name","Village Code","HaveVMW"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Rohat Tuek","rhat;Twk","01020802","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Thnal Bat","fñl;bt;","01020803","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Kramol","Rkml;","01020804","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Khtum Chrum","xÞúMRCM","01020805","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Chak Lech","cklic","01020806","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Doun Mul","dUnmUl","01020807","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Preaek Samraong","ERBksMerag","01020808","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Ou Dangkao","GUrdegáa","01020809","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Chamkar Chek","cMkareck","01020810","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Ou Chuob","GUrCYb","01020811","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Rohat Tuek","rhat;Twk","010208","Ka Svay","ksVay","01020812","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Rohat Tuek","rhat;Twk","010208","Chak Kaeut","ckekIt","01020813","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010110","Russei Kraok II","b¤sSIeRkak 2","Ruessei Kraok","b¤sSIeRkak","010209","Anhchanh","GBa©aj","01020901","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010109","Russei Kraok I","b¤sSIeRkak 1","Ruessei Kraok","b¤sSIeRkak","010209","Neang Ket","NagEkt","01020902","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010109","Russei Kraok I","b¤sSIeRkak 1","Ruessei Kraok","b¤sSIeRkak","010209","Praek Ropov","ERBkreBA","01020903","No"
